HI Name,Common Name,Sci name,Alt sci name?,Islands located,Diet,Detailed diet,Status (Extant/extinct/presumed extinct),Info src,on AVONET?
Akohekohe,Crested honeycreeper,Palmeria dolei,,Maui,"Nectivore, Insectivore",""" They are primarily nectarivorous, feeding mainly on `ōhi`a lehua (Metrosideros polymorpha), but also from the flowers of other trees and shrubs. `Ākohekohe are strong fliers and will move from low to high elevations in search of blooming `ōhi`a. Arthropods, mainly gleaned from `ōhi`a, are also part of the species’ diet.""",Extant,HI DLNR,Y
Maui `alauhio,Maui creeper,Paroreomyza montana,Paroreomyza montana newtoni,Maui,Insectivore,"""The Maui `alauahio gleans invertebrates from woody and leafy parts of a variety of plants.""",Extant,HI DLNR,Y
Kiwikiu,Maui parrotbill,Pseudonestor xanthophrys,,Maui,Insectivore,"""Kiwikiu are insectivores that feed on a variety of shrubs and small trees, especially `akala (Rubus hawaiensis), kanawao (Broussaisia arguta), `ōhi`a (Metrosideros polymorpha), and koa (Acacia koa) where they glean prey from moss-covered branches or use their bill to chisel, crack, crush, dig, and tear bark and softer wood in search of beetle and Lepidoptera larvae and pupae. Kiwikiu will also open fruit in search of insects.""",Extant,HI DLNR,Y
Nihoa finch,,Telespiza ultima,,Nihoa,Generalist,"""Nihoa finches are known to feed on seeds, fruits, leaves, flowers, stems, seedlings, roots, carrion, invertebrates, and eggs.""",Extant,HI DLNR,Y
O`ahu `amakihi,,Chlorodrepanis flava,Hemignathus flavus,O`ahu,Generalist,"""O`ahu `amakihi are generalized foragers that take arthropods from a variety of trees and substrates. The species often gleans arthropods from leaves and twigs, less frequently from larger branches and trucks. Feeds on nectar and fruit from a variety of native and non-native plants and has been observed eating sap from koa (Acacia koa) trees.""",Extant,HI DLNR,Y
Po`ouli,,Melamprosops phaeosoma,,Hawai`i,Insectivore,"""Forages primarily in the sub-canopy and understory on tree branches of native shrubs and trees where they search moss, lichens, and bark for snails and arthropods.""",Extant,HI DLNR,Y
Lesser `akialoa,,Akialoa obscura,,Hawai`i,"Nectivore, Insectivore","""This beak enabled them to eat the nectar of native flowers such as those from ʻōhi`a trees, in addition to bugs.""","Extinct, last seen in 1903",HI DLNR,
O`ahu `akialoa,,Akialoa ellisiana,,O`ahu,"Nectivore, Insectivore","""Their long beak enabled them to eat bugs and the nectar of native flowers such as those from ʻōhiʻa trees.""","Extinct, last seen 1892",HI DLNR,
Maui Nui `akialoa,,Akialoa lanaiensis,,"Maui, Molokaʻi, Lānaʻi","Nectivore, Insectivore",""" Their long beak enabled them to eat bugs and the nectar of native flowers such as those from ʻōhiʻa trees.""","Extinct, last seen in 1894",HI DLNR,
Kaua`i `akialoa,,Hemignathus procerus,,Kaua`i,"Insectivore, Nectivore","""The species principally hunted for arthropods on the trunks and branches of `ōhi`a (Metrosideros polymorpha) and koa (Acacia koa) trees, and hapu`u tree ferns (Cibotium spp.) by using its bill to examine bark cervices, decaying wood, epiphytes, and organic matter; observed to insert its entire bill into crevices. Foraging behavior has been described as being similar to that of a woodpecker or creeper. They also took nectar from `ōhi`a and lobelia (Campanulaceae) flowers.""","Extinct, last seen 1800s",HI DLNR,
Kona Grosbeak,,Chloridops kona,,Hawai`i,Granivore,Naio seeds?,"Extinct, last seen 1892",HI DLNR,
Nukupololei,Greater ʻamakihi,Viridonia sagittirostris,,Hawai`i,,"""Their arrow-like beaks are assumed to be adapted for food sources such as koa seeds.""","Extinct, last seen 1901",,
